wav_filename,wav_filesize,transcript
/media/shamim/New Volume/content/nl/MP3/wav/40d9f0a0d4.wav,80044,সপ্তম শ্রেণীর ছাত্রী 
/media/shamim/New Volume/content/nl/MP3/wav/4e394d78a9.wav,51244,জানা গেলো
/media/shamim/New Volume/content/nl/MP3/wav/4da5f6d259.wav,124844,টুইটারে গণমাধ্যমের প্রতি
/media/shamim/New Volume/content/nl/MP3/wav/40edc380e1.wav,86444,প্যাডেল করে 
/media/shamim/New Volume/content/nl/MP3/wav/46d5c4fb73.wav,144044,মরুভূমি
/media/shamim/New Volume/content/nl/MP3/wav/46b48bf692.wav,76844,শিক্ষক ও শিক্ষার্থীরা
/media/shamim/New Volume/content/nl/MP3/wav/46e6f280dc.wav,115244,জানানো হলে বাংলাদেশের সরকার 
/media/shamim/New Volume/content/nl/MP3/wav/49de03c3ce.wav,140844,তাঁহাদিগের কৃত ভক্তিব্যাখ্যা
/media/shamim/New Volume/content/nl/MP3/wav/49cd21f839.wav,83244,কাজী নিপু 
/media/shamim/New Volume/content/nl/MP3/wav/488909c243.wav,118444,প্রতিষ্ঠিত হওয়ার সঙ্গে সঙ্গে
/media/shamim/New Volume/content/nl/MP3/wav/4cff3563dc.wav,105644,অন্যদিনের মতো এখন
/media/shamim/New Volume/content/nl/MP3/wav/47373a1e77.wav,99244,রমজানের প্রথম দিন
/media/shamim/New Volume/content/nl/MP3/wav/42af0dbe43.wav,67244,অনেক পণ্য
/media/shamim/New Volume/content/nl/MP3/wav/4c282c5bc7.wav,121644,মুসা ইব্রাহীম বিতর্ক
/media/shamim/New Volume/content/nl/MP3/wav/47be37711c.wav,134444,পিছনে সরিয়া আসিতেছে
/media/shamim/New Volume/content/nl/MP3/wav/4d2cc4e225.wav,124844,আপাতত রেঞ্চটা হাতে নিল অলি
/media/shamim/New Volume/content/nl/MP3/wav/4e4fcf0e8b.wav,156844,অ্যাডেলে তার
/media/shamim/New Volume/content/nl/MP3/wav/4fd5913f54.wav,70444,হাঁস মুরগি
/media/shamim/New Volume/content/nl/MP3/wav/4a3cb72047.wav,124844,শালীন পোশাক প্যান্ট শার্ট
/media/shamim/New Volume/content/nl/MP3/wav/40f9124f98.wav,92844,তবে কলকাতার মধ্যে
/media/shamim/New Volume/content/nl/MP3/wav/4523ebe193.wav,92844,পরিকল্পনা করার সুযোগ আছে
/media/shamim/New Volume/content/nl/MP3/wav/4e50dc7e38.wav,92844,ঠিক সেই কাজে
/media/shamim/New Volume/content/nl/MP3/wav/47a0f8049e.wav,147244,অ্যানথ্রাক্স একটি আমেরিকান
/media/shamim/New Volume/content/nl/MP3/wav/45ae595110.wav,124844,এমনকি উপলব্ধির দ্বারা দ্বিখণ্ডিত।
/media/shamim/New Volume/content/nl/MP3/wav/4cb8631ed9.wav,108844,গির্জা সিনেগগ  
/media/shamim/New Volume/content/nl/MP3/wav/41c6924650.wav,105644,মিয়ানমার সরকার
/media/shamim/New Volume/content/nl/MP3/wav/4f41c7ae9f.wav,57644,বিহার
/media/shamim/New Volume/content/nl/MP3/wav/4de35fb684.wav,118444,তাদের প্রতিবেদন দিয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/4cfcdf7b3a.wav,73644,ছিনতাই ডাকাতিসহ
/media/shamim/New Volume/content/nl/MP3/wav/49804a250d.wav,73644,হামিদুল ও একই গ্রামের
/media/shamim/New Volume/content/nl/MP3/wav/4a89c0a718.wav,102444,আর যিনি অগ্নির সহিত
/media/shamim/New Volume/content/nl/MP3/wav/482db50f60.wav,112044,সারাদেশ থেকে আসা
/media/shamim/New Volume/content/nl/MP3/wav/480360bd08.wav,83244,আরো কিছু সংশোধন
/media/shamim/New Volume/content/nl/MP3/wav/451c0e0a95.wav,70444,বাঁধন
/media/shamim/New Volume/content/nl/MP3/wav/4fcbe0daa3.wav,121644,পর্যাপ্ত ট্যাক্সিক্যাব নামানোর
/media/shamim/New Volume/content/nl/MP3/wav/48eab6945f.wav,112044,তেহরানে মার্কিন দূতাবাস
/media/shamim/New Volume/content/nl/MP3/wav/42064ac4eb.wav,108844,আইনের ঊর্ধ্বে রাখা হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/49c2090f61.wav,115244,তারা পছন্দ করে
/media/shamim/New Volume/content/nl/MP3/wav/4dad05d383.wav,144044,কেনাকাটা করতে যাওয়ার
/media/shamim/New Volume/content/nl/MP3/wav/4a96f2c75f.wav,96044,ইউনিট হিসেবে
/media/shamim/New Volume/content/nl/MP3/wav/4b948e27cf.wav,156844,চিত্রিণী প্রমাণ শরীর
/media/shamim/New Volume/content/nl/MP3/wav/442d205fbd.wav,124844,একটি নতুন বিজিবি আইন
/media/shamim/New Volume/content/nl/MP3/wav/464c99d99c.wav,128044,সমৃদ্ধ ইতিহাস রয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/45c79317eb.wav,99244,স্থগিত করা
/media/shamim/New Volume/content/nl/MP3/wav/4bb4b34225.wav,124844,তাঁর অসামান্য অবদানের জন্য প্রাপ্য
/media/shamim/New Volume/content/nl/MP3/wav/4aac01a94f.wav,86444,আপাতত ভরসা
/media/shamim/New Volume/content/nl/MP3/wav/45d7c4cdb2.wav,70444,একটি ভদ্রলোক
/media/shamim/New Volume/content/nl/MP3/wav/4b077529c3.wav,89644,সম্মেলনে যোগ দিচ্ছে
/media/shamim/New Volume/content/nl/MP3/wav/4f227369a6.wav,96044,যশোদার ঘরে প্রবেশ করে
/media/shamim/New Volume/content/nl/MP3/wav/4f4542bbef.wav,102444,নৌকার ছবি
/media/shamim/New Volume/content/nl/MP3/wav/4dd8552a11.wav,70444,৩চার বছর বয়স্ক
/media/shamim/New Volume/content/nl/MP3/wav/4a8eaea2d9.wav,188844,পক্ষান্তরে ব্রাহ্মণকন্যা দেবযানী
/media/shamim/New Volume/content/nl/MP3/wav/4d20357c23.wav,89644,পানি ঢালিয়া দিতেছিল
/media/shamim/New Volume/content/nl/MP3/wav/4ddb810fee.wav,176044,মাত্র তিন লাখ ২০ হাজার
/media/shamim/New Volume/content/nl/MP3/wav/45bafd38f0.wav,137644,ঢাকা বিশ্ববিদ্যালয় ক্যাম্পাসে
/media/shamim/New Volume/content/nl/MP3/wav/4d931edcf7.wav,150444,কারাবরণ করেছিলেন
/media/shamim/New Volume/content/nl/MP3/wav/4d9af92856.wav,73644,তিনি বিবাহিত
/media/shamim/New Volume/content/nl/MP3/wav/4d48efc8ba.wav,102444,মুক্তিপণের বিনিময়ে
